source,target,
DisplayStacks,Designing new types of interactions,
DisplayStacks,Creating engaging experiences,
DisplayStacks,Private,
DisplayStacks,Displays,
DisplayStacks,Networking technologies,
DisplayStacks,Sensors,
Drag-and-Pop,Gravity-Like,
Drag-and-Pop,Designing new types of interactions,
Drag-and-Pop,Private,
Drag-and-Pop,Public,
Drag-and-Pop,Semi-private,
Drag-and-Pop,Displays,
Drag-and-Pop,Networking technologies,
Vacuum,Gravity-Like,
Vacuum,Designing new types of interactions,
Vacuum,Augmenting existing practices,
Vacuum,Public,
Vacuum,Alternative forms of input,
Vacuum,Displays,
Drag-and-Pick,Gravity-Like,
Drag-and-Pick,Designing new types of interactions,
Drag-and-Pick,Private,
Drag-and-Pick,Public,
Drag-and-Pick,Semi-private,
Drag-and-Pick,Displays,
Drag-and-Pick,Networking technologies,
Interface Currents,Gravity-Like,
Interface Currents,Creating engaging experiences,
Interface Currents,Designing new types of interactions,
Interface Currents,Public,
HandLaser,Perspective-Aware,
HandLaser,Augmenting existing practices,
HandLaser,Public,
HandLaser,Displays,
HandLaser,Alternative forms of input,
HeadMouse,Perspective-Aware,
HeadMouse,Augmenting existing practices,
HeadMouse,Public,
HeadMouse,Displays,
HeadLaser,Perspective-Aware,
HeadLaser,Augmenting existing practices,
HeadLaser,Public,
HeadLaser,Displays,
HeadLaser,Alternative forms of input,
Perspective-Aware Interfaces,Perspective-Aware,
Perspective-Aware Interfaces,Creating engaging experiences,
Perspective-Aware Interfaces,Augmenting existing practices,
Perspective-Aware Interfaces,Public,
Perspective-Aware Interfaces,Private,
Perspective-Aware Interfaces,Semi-private,
Perspective-Aware Interfaces,Physical object identification,
Perspective-Aware Interfaces,Machine-readable data formats,
Perspective-Aware Interfaces,Displays,
HandMouse,Perspective-Aware,
HandMouse,Augmenting existing practices,
HandMouse,Public,
HandMouse,Displays,
HandMouse,Alternative forms of input,
Pick-and-Drop,Pick-and-Drop,
Pick-and-Drop,Augmenting existing practices,
Pick-and-Drop,Creating engaging experiences,
Pick-and-Drop,Private,
Pick-and-Drop,Semi-private,
Pick-and-Drop,Public,
Pick-and-Drop,Displays,
Pick-and-Drop,Alternative forms of input,
Pick-and-Drop,Networking technologies,
Pick-and-Drop,Physical object identification,
Lift-and-Drop,Pick-and-Drop,
Lift-and-Drop,Augmenting existing practices,
Lift-and-Drop,Creating engaging experiences,
Lift-and-Drop,Private,
Lift-and-Drop,Semi-private,
Lift-and-Drop,Public,
Lift-and-Drop,Displays,
Lift-and-Drop,Physical object identification,
Lift-and-Drop,Sensors,
Lift-and-Drop,Networking technologies,
Slurp,Pick-and-Drop,
Slurp,Augmenting existing practices,
Slurp,Creating engaging experiences,
Slurp,Creating technological infrastructure,
Slurp,Designing new types of interactions,
Slurp,Private,
Slurp,Public,
Slurp,Semi-private,
Slurp,Alternative forms of input,
Slurp,Displays,
Slurp,Machine-readable data formats,
Slurp,Multimedia,
Slurp,Networking technologies,
Slurp,Physical object identification,
Slurp,Sensors,
Video Wall,Private Public Screens,
Video Wall,Creating engaging experiences,
Video Wall,Private,
Video Wall,Public,
Video Wall,Sensors,
Video Wall,Multimedia,
Video Wall,Displays,
Ubiquitous Graphics,Private Public Screens,
Ubiquitous Graphics,Augmenting existing practices,
Ubiquitous Graphics,Creating engaging experiences,
Ubiquitous Graphics,Private,
Ubiquitous Graphics,Public,
Ubiquitous Graphics,Alternative forms of input,
Ubiquitous Graphics,Displays,
Ubiquitous Graphics,Networking technologies,
Ubiquitous Graphics,Physical object identification,
SharedViews,Private Public Screens,
SharedViews,Creating engaging experiences,
SharedViews,Designing new types of interactions,
SharedViews,Private,
SharedViews,Public,
SharedViews,Displays,
SharedViews,Machine-readable data formats,
SharedViews,Networking technologies,
Taking,Throw,
Taking,Augmenting existing practices,
Taking,Creating engaging experiences,
Taking,Designing new types of interactions,
Taking,Public,
Taking,Displays,
Taking,Networking technologies,
Taking,Physical object identification,
Shuffling,Throw,
Shuffling,Augmenting existing practices,
Shuffling,Creating engaging experiences,
Shuffling,Designing new types of interactions,
Shuffling,Public,
Shuffling,Displays,
Shuffling,Networking technologies,
Shuffling,Physical object identification,
Send-to-Me,Throw,
Send-to-Me,Creating engaging experiences,
Send-to-Me,Private,
Send-to-Me,Public,
Send-to-Me,Displays,
Send-to-Me,Multimedia,
Send-to-Me,Networking technologies,
Send-to-Me,Sensors,
Send-to-Me,Haptics,
Retrieving,Throw,
Retrieving,Creating engaging experiences,
Retrieving,Private,
Retrieving,Public,
Retrieving,Displays,
Retrieving,Multimedia,
Retrieving,Networking technologies,
Retrieving,Sensors,
Retrieving,Haptics,
Chucking,Throw,
Chucking,Augmenting existing practices,
Chucking,Designing new types of interactions,
Chucking,Private,
Chucking,Public,
Chucking,Displays,
Chucking,Networking technologies,
Chucking,Sensors,
Throwing (MobiComics),Throw,
Throwing (MobiComics),Creating engaging experiences,
Throwing (MobiComics),Private,
Throwing (MobiComics),Public,
Throwing (MobiComics),Displays,
Throwing (MobiComics),Multimedia,
Throwing (MobiComics),Networking technologies,
Throwing (MobiComics),Sensors,
Throwing (MobiComics),Haptics,
Voting,Throw,
Voting,Creating engaging experiences,
Voting,Private,
Voting,Public,
Voting,Displays,
Voting,Multimedia,
Voting,Networking technologies,
Voting,Sensors,
Voting,Haptics,
Throwing,Throw,
Throwing,Augmenting existing practices,
Throwing,Creating engaging experiences,
Throwing,Designing new types of interactions,
Throwing,Public,
Throwing,Displays,
Throwing,Networking technologies,
Throwing,Physical object identification,
That One there!,Wireless Physicality,
That One there!,Creating technological infrastructure,
That One there!,Augmenting existing practices,
That One there!,Private,
That One there!,Semi-private,
That One there!,Public,
That One there!,Machine-readable data formats,
That One there!,Networking technologies,
That One there!,Sensors,
Select-and-Point,Wireless Physicality,
Select-and-Point,Augmenting existing practices,
Select-and-Point,Creating engaging experiences,
Select-and-Point,Creating technological infrastructure,
Select-and-Point,Designing new types of interactions,
Select-and-Point,Private,
Select-and-Point,Public,
Select-and-Point,Semi-private,
Select-and-Point,Alternative forms of input,
Select-and-Point,Displays,
Select-and-Point,Physical object identification,
Select-and-Point,Sensors,
Select-and-Point,Networking technologies,
TranSticks,Wireless Physicality,
TranSticks,Augmenting existing practices,
TranSticks,Creating technological infrastructure,
TranSticks,Private,
TranSticks,Public,
TranSticks,Semi-private,
TranSticks,Networking technologies,
TranSticks,Alternative forms of input,
TranSticks,Machine-readable data formats,
Touch-and-Connect,Wireless Physicality,
Touch-and-Connect,Creating technological infrastructure,
Touch-and-Connect,Augmenting existing practices,
Touch-and-Connect,Private,
Touch-and-Connect,Public,
Touch-and-Connect,Semi-private,
Touch-and-Connect,Networking technologies,
Touch-and-Connect,Alternative forms of input,
SyncTap,Wireless Physicality,
SyncTap,Creating technological infrastructure,
SyncTap,Designing new types of interactions,
SyncTap,Private,
SyncTap,Public,
SyncTap,Semi-private,
SyncTap,Networking technologies,
SyncTap,Alternative forms of input,
